,rebal_count,stationid_from,stationid_to,stationname_from,latitude_from,longitude_from,stationid,stationname_to,latitude_to,longitude_to
0,1807,445,394,E 10 St & Avenue A,40.72740794,-73.98142006,394,E 9 St & Avenue C,40.72521311,-73.97768752
1,1531,3263,432,Cooper Square & E 7 St,40.72923649910006,-73.99086803197861,432,E 7 St & Avenue A,40.72621788,-73.98379855
2,1307,445,433,E 10 St & Avenue A,40.72740794,-73.98142006,433,E 13 St & Avenue A,40.72955361,-73.98057249
3,1276,3443,3158,W 52 St & 6 Ave,40.76132983124814,-73.97982001304626,3158,W 63 St & Broadway,40.77163851,-73.98261428
4,1226,445,3718,E 10 St & Avenue A,40.72740794,-73.98142006,3718,E 11 St & Avenue B,40.72746420692392,-73.97950418293476
5,1186,402,2012,Broadway & E 22 St,40.7403432,-73.98955109,2012,E 27 St & 1 Ave,40.739445,-73.976806
6,1183,3263,445,Cooper Square & E 7 St,40.72923649910006,-73.99086803197861,445,E 10 St & Avenue A,40.72740794,-73.98142006
7,1055,402,3641,Broadway & E 22 St,40.7403432,-73.98955109,3641,Broadway & W 25 St,40.74286877312112,-73.98918628692627
8,929,229,432,Great Jones St,40.72743423,-73.99379025,432,E 7 St & Avenue A,40.72621788,-73.98379855
9,922,497,433,E 17 St & Broadway,40.73704984,-73.99009296,433,E 13 St & Avenue A,40.72955361,-73.98057249
10,865,484,3680,W 44 St & 5 Ave,40.75500254,-73.98014437,3680,E 43 St & 5 Ave,40.754120810779256,-73.98025184869766
11,848,433,394,E 13 St & Avenue A,40.72955361,-73.98057249,394,E 9 St & Avenue C,40.72521311,-73.97768752
12,806,3718,433,E 11 St & Avenue B,40.72746420692392,-73.97950418293476,433,E 13 St & Avenue A,40.72955361,-73.98057249
13,791,3733,433,Avenue C & E 18 St,40.730563,-73.973984,433,E 13 St & Avenue A,40.72955361,-73.98057249
14,783,301,433,E 2 St & Avenue B,40.72217444,-73.98368779,433,E 13 St & Avenue A,40.72955361,-73.98057249
15,765,3664,3164,North Moore St & Greenwich St,40.72019521437465,-74.0103006362915,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475
16,756,433,3733,E 13 St & Avenue A,40.72955361,-73.98057249,3733,Avenue C & E 18 St,40.730563,-73.973984
17,748,362,267,Broadway & W 37 St,40.75172632,-73.98753523,267,Broadway & W 36 St,40.75097711,-73.98765428
18,724,293,445,Lafayette St & E 8 St,40.73028666,-73.9907647,445,E 10 St & Avenue A,40.72740794,-73.98142006
19,709,293,3263,Lafayette St & E 8 St,40.73028666,-73.9907647,3263,Cooper Square & E 7 St,40.72923649910006,-73.99086803197861
20,696,217,391,Old Fulton St,40.70277159,-73.99383605,391,Clark St & Henry St,40.69760127,-73.99344559
21,693,501,2012,FDR Drive & E 35 St,40.744219,-73.97121214,2012,E 27 St & 1 Ave,40.739445,-73.976806
22,661,3718,394,E 11 St & Avenue B,40.72746420692392,-73.97950418293476,394,E 9 St & Avenue C,40.72521311,-73.97768752
23,656,236,438,St Marks Pl & 2 Ave,40.7284186,-73.98713956,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945
24,654,445,266,E 10 St & Avenue A,40.72740794,-73.98142006,266,Avenue D & E 8 St,40.72368361,-73.97574813
25,652,394,433,E 9 St & Avenue C,40.72521311,-73.97768752,433,E 13 St & Avenue A,40.72955361,-73.98057249
26,651,433,445,E 13 St & Avenue A,40.72955361,-73.98057249,445,E 10 St & Avenue A,40.72740794,-73.98142006
27,644,3674,3418,Jay St & York St,40.70140317257725,-73.98672670125961,3418,Plaza St West & Flatbush Ave,40.6750207,-73.97111473
28,635,3472,212,W 15 St & 10 Ave,40.74275382865903,-74.00747358798981,212,W 16 St & The High Line,40.74334935,-74.00681753
