,stationid,stationname,latitude,longitude,capacity,neighbourhood,boro,zipcode,elevation_ft
0,455.0,1 Ave & E 44 St,40.75001986,-73.96905301,59.0,Turtle Bay,Manhattan,10017-6927,46.8
1,434.0,9 Ave & W 18 St,40.74317449,-74.00366443,60.0,Chelsea District,Manhattan,10019,15.9
2,491.0,E 24 St & Park Ave S,40.74096374,-73.98602213,,Manhattan Community Board 5,Manhattan,10010,34.87
3,384.0,Fulton St & Waverly Ave,40.68317813,-73.9659641,31.0,,Brooklyn,11238,78.1
4,474.0,5 Ave & E 29 St,40.7451677,-73.98683077,56.0,Midtown South,Manhattan,10035,41.55
5,512.0,W 29 St & 9 Ave,40.7500727,-73.99839279,29.0,Chelsea,Manhattan,10001,27.97
6,498.0,Broadway & W 32 St,40.74854862,-73.98808416,,Chelsea District,Manhattan,10001-2062,43.95
7,405.0,Washington St & Gansevoort St,40.739323,-74.008119,51.0,Manhattan Community Board 2,Manhattan,10014,10.75
8,450.0,W 49 St & 8 Ave,40.76227205,-73.98788205,67.0,Theater District,Manhattan,10019,53.01
9,160.0,E 37 St & Lexington Ave,40.748238,-73.978311,,Murray Hill,Manhattan,10016,62.78
10,291.0,Madison St & Montgomery St,40.713126,-73.984844,20.0,Lower East Side,Manhattan,10002,29.7
11,517.0,Pershing Square South,40.751581,-73.97791,,Murray Hill,Manhattan,10037,61.6
12,290.0,2 Ave & E 58 St,40.76020258,-73.96478473,,Manhattan Community Board 6,Manhattan,10035,60.91
13,361.0,Allen St & Hester St,40.71605866,-73.99190759,79.0,Lower East Side,Manhattan,10002,39.58
14,317.0,E 6 St & Avenue B,40.72453734,-73.98185424,67.0,East Village,Manhattan,10009,17.27
15,488.0,W 39 St & 9 Ave,40.75645824,-73.99372222,44.0,Garment District,Manhattan,10018,32.55
16,285.0,Broadway & E 14 St,40.73454567,-73.99074142,78.0,East Village,Manhattan,10003,40.24
17,466.0,W 25 St & 6 Ave,40.74395411,-73.99144871,35.0,Manhattan Community Board 5,Manhattan,10001,38.14
18,360.0,William St & Pine St,40.70717936,-74.00887308,39.0,Financial District,Manhattan,10045,28.37
19,485.0,W 37 St & 5 Ave,40.75038009,-73.98338988,40.0,Midtown South,Manhattan,10018,72.42
20,449.0,W 52 St & 9 Ave,40.76461837,-73.98789473,,Theater District,Manhattan,10019,56.35
21,164.0,E 47 St & 2 Ave,40.75323098,-73.97032517,77.0,Turtle Bay,Manhattan,10017,36.67
22,522.0,E 51 St & Lexington Ave,40.75714758,-73.97207836,51.0,Turtle Bay,Manhattan,10022,47.66
23,513.0,W 56 St & 10 Ave,40.768254,-73.988639,29.0,Manhattan Community Board 4,Manhattan,10019,51.74
24,382.0,University Pl & E 14 St,40.73492695,-73.99200509,61.0,Union Square,Manhattan,10003,38.92
25,243.0,Fulton St & Rockwell Pl,40.688226,-73.979382,,Fort Greene,,11207,34.05
26,412.0,Forsyth St & Canal St,40.7158155,-73.99422366,29.0,Manhattan Community Board 3,Manhattan,10002,42.52
27,3002.0,South End Ave & Liberty St,40.711512,-74.015756,,Battery Park City,Manhattan,10005,13.77
28,146.0,Hudson St & Reade St,40.71625008,-74.0091059,55.0,Tribeca,Manhattan,10014,19.85
29,438.0,St Marks Pl & 1 Ave,40.72779126,-73.98564945,47.0,East Village,Manhattan,10003,25.69
30,244.0,Willoughby Ave & Hall St,40.69196035,-73.96536851,51.0,,Brooklyn,11205,62.83
31,395.0,Bond St & Schermerhorn St,40.68807003,-73.98410637,,Boerum Hill,,11217,41.14
32,509.0,9 Ave & W 22 St,40.7454973,-74.00197139,61.0,Chelsea District,Manhattan,10019,16.4
33,150.0,E 2 St & Avenue C,40.7208736,-73.98085795,56.0,East Village,Manhattan,10002-1013,16.6
34,428.0,E 3 St & 1 Ave,40.72467721,-73.98783413,41.0,East Village,Manhattan,10009,32.76
35,422.0,W 59 St & 10 Ave,40.770513,-73.988038,79.0,Manhattan Community Board 4,Manhattan,100,69.29
36,386.0,Centre St & Worth St,40.71494807,-74.00234482,82.0,Manhattan Community Board 1,Manhattan,10278,17.74
37,327.0,Vesey Pl & River Terrace,40.7153379,-74.01658354,39.0,Battery Park City,Manhattan,10285,11.69
38,536.0,1 Ave & E 30 St,40.74144387,-73.97536082,29.0,Kips Bay,Manhattan,10016,21.08
39,282.0,Kent Ave & S 11 St,40.70827295,-73.96834101,27.0,,Brooklyn,11211,15.63
40,312.0,Allen St & E Houston St,40.722055,-73.989111,,Lower East Side,Manhattan,10002,36.94
41,326.0,E 11 St & 1 Ave,40.72953837,-73.98426726,41.0,East Village,Manhattan,10009,23.61
42,293.0,Lafayette St & E 8 St,40.73028666,-73.9907647,91.0,East Village,Manhattan,10003,40.24
43,168.0,W 18 St & 6 Ave,40.73971301,-73.99456405,47.0,Manhattan Community Board 5,Manhattan,10011,33.25
44,495.0,W 47 St & 10 Ave,40.76269882,-73.99301222,39.0,Theater District,Manhattan,10036,30.49
45,128.0,MacDougal St & Prince St,40.72710258,-74.00297088,56.0,SoHo,Manhattan,10012,24.15
46,514.0,12 Ave & W 40 St,40.76087502,-74.00277668,51.0,Hudson Yards,Manhattan,100036,7.48
47,489.0,10 Ave & W 28 St,40.75066386,-74.00176802,49.0,Chelsea District,Manhattan,10001,14.39
48,364.0,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,27.0,,Brooklyn,11221,69.21
49,470.0,W 20 St & 8 Ave,40.74345335,-74.00004031,84.0,Chelsea District,Manhattan,10011,20.33
50,403.0,E 2 St & 2 Ave,40.72502876,-73.99069656,58.0,East Village,Manhattan,1002,39.89
