,datetime,counttrips,meanduration,modestartstationid,modestartstationname,modestartstationlatitude,modestartstationlongitude,modeendstationid,modeendstationname,modeendstationlatitude,modeendstationlongitude,usertypevalues,gendervalues
0,2015-09,6668,4313.320785842831,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    5292
Customer      1376
Name: usertype, dtype: int64","1    3944
0    1380
2    1344
Name: gender, dtype: int64"
1,2015-10,19264,1178.658741694352,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    16967
Customer       2297
Name: usertype, dtype: int64","1    12677
2     4249
0     2338
Name: gender, dtype: int64"
2,2015-11,15113,1122.8087739032621,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    13878
Customer       1235
Name: usertype, dtype: int64","1    10718
2     3138
0     1257
Name: gender, dtype: int64"
3,2015-12,11838,1274.5933434701808,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    11118
Customer        720
Name: usertype, dtype: int64","1    8735
2    2363
0     740
Name: gender, dtype: int64"
4,2016-01,7479,876.0839684449793,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    7177
Customer       302
Name: usertype, dtype: int64","1    5697
2    1474
0     308
Name: gender, dtype: int64"
5,2016-02,8250,1424.132,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    7920
Customer       330
Name: usertype, dtype: int64","1    6283
2    1629
0     338
Name: gender, dtype: int64"
6,2016-03,13511,2018.9951891051735,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    12609
Customer        890
Name: usertype, dtype: int64","1    9936
2    2648
0     927
Name: gender, dtype: int64"
7,2016-04,16342,910.6958756578142,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    14562
Customer       1749
Name: usertype, dtype: int64","1    11372
2     3154
0     1816
Name: gender, dtype: int64"
8,2016-05,19488,818.028222495895,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    17754
Customer       1726
Name: usertype, dtype: int64","1    13925
2     3764
0     1799
Name: gender, dtype: int64"
9,2016-06,23947,853.9833799640874,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    21883
Customer       2060
Name: usertype, dtype: int64","1    17023
2     4716
0     2208
Name: gender, dtype: int64"
10,2016-07,24436,819.059215910951,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    22478
Customer       1952
Name: usertype, dtype: int64","1    17321
2     4848
0     2267
Name: gender, dtype: int64"
11,2016-08,34149,795.9735570587718,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    31386
Customer       2709
Name: usertype, dtype: int64","1    23738
2     6850
0     3561
Name: gender, dtype: int64"
12,2016-09,33425,853.9890201944652,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    31368
Customer       1932
Name: usertype, dtype: int64","1    23363
2     7215
0     2847
Name: gender, dtype: int64"
13,2016-10,29611,672.7844719867617,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    28485
Customer       1076
Name: usertype, dtype: int64","1    21332
2     6389
0     1890
Name: gender, dtype: int64"
14,2016-11,21832,826.8641901795529,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    21192
Customer        591
Name: usertype, dtype: int64","1    15850
2     4722
0     1260
Name: gender, dtype: int64"
15,2016-12,15114,575.5315601429138,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    14869
Customer        204
Name: usertype, dtype: int64","1    11357
2     3077
0      680
Name: gender, dtype: int64"
16,2017-01,12926,577.770772087266,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    12827
Customer         81
Name: usertype, dtype: int64","1    10016
2     2467
0      443
Name: gender, dtype: int64"
17,2017-02,14026,609.7881790959647,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    13504
Customer        456
Name: usertype, dtype: int64","1    10422
2     2711
0      893
Name: gender, dtype: int64"
18,2017-03,12201,674.3556265879846,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    11975
Customer        193
Name: usertype, dtype: int64","1    9195
2    2439
0     567
Name: gender, dtype: int64"
19,2017-04,21186,920.9135278013782,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    19357
Customer       1829
Name: usertype, dtype: int64","1    15093
2     4021
0     2072
Name: gender, dtype: int64"
20,2017-05,25966,980.5476392205192,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    24325
Customer       1641
Name: usertype, dtype: int64","1    18611
2     5320
0     2035
Name: gender, dtype: int64"
21,2017-06,32060,860.6036182158452,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    30082
Customer       1978
Name: usertype, dtype: int64","1    22656
2     6782
0     2622
Name: gender, dtype: int64"
22,2017-07,33573,767.9523128704614,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    30945
Customer       2628
Name: usertype, dtype: int64","1    23331
2     7163
0     3079
Name: gender, dtype: int64"
23,2017-08,35472,842.6350360847993,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    33002
Customer       2470
Name: usertype, dtype: int64","1    25131
2     7512
0     2829
Name: gender, dtype: int64"
24,2017-09,33119,756.9020199885263,"0    3186
Name: startstationid, dtype: int64","0    Grove St PATH
Name: startstationname, dtype: object","0    40.719586
Name: startstationlatitude, dtype: float64","0   -74.043117
Name: startstationlongitude, dtype: float64","0    3186
Name: endstationid, dtype: int64","0    Grove St PATH
Name: endstationname, dtype: object","0    40.719586
Name: endstationlatitude, dtype: float64","0   -74.043117
Name: endstationlongitude, dtype: float64","Subscriber    30986
Customer       2133
Name: usertype, dtype: int64","1    23364
2     7209
0     2546
Name: gender, dtype: int64"
