,datetime,counttrips,meanduration,modestartstationid,modestartstationname,modestartstationlatitude,modestartstationlongitude,modeendstationid,modeendstationname,modeendstationlatitude,modeendstationlongitude,usertypevalues,gendervalues
0,2013-06,577703,1372.5702791919032,"0    459
Name: startstationid, dtype: int64","0    W 20 St & 11 Ave
Name: startstationname, dtype: object","0    40.746745
Name: startstationlatitude, dtype: float64","0   -74.007756
Name: startstationlongitude, dtype: float64","0    459.0
Name: endstationid, dtype: float64","0    W 20 St & 11 Ave
Name: endstationname, dtype: object","0    40.746745
Name: endstationlatitude, dtype: float64","0   -74.007756
Name: endstationlongitude, dtype: float64","Subscriber    337384
Customer      240319
Name: usertype, dtype: int64","1    263492
0    240748
2     73463
Name: gender, dtype: int64"
1,2013-07,843416,998.1007035673973,"0    459
Name: startstationid, dtype: int64","0    W 20 St & 11 Ave
Name: startstationname, dtype: object","0    40.746745
Name: startstationlatitude, dtype: float64","0   -74.007756
Name: startstationlongitude, dtype: float64","0    497
Name: endstationid, dtype: int64","0    E 17 St & Broadway
Name: endstationname, dtype: object","0    40.73705
Name: endstationlatitude, dtype: float64","0   -73.990093
Name: endstationlongitude, dtype: float64","Subscriber    668501
Customer      174915
Name: usertype, dtype: int64","1    511479
0    174931
2    157006
Name: gender, dtype: int64"
2,2013-08,1001958,979.5802269156991,"0    497
Name: startstationid, dtype: int64","0    E 17 St & Broadway
Name: startstationname, dtype: object","0    40.73705
Name: startstationlatitude, dtype: float64","0   -73.990093
Name: startstationlongitude, dtype: float64","0    497
Name: endstationid, dtype: int64","0    E 17 St & Broadway
Name: endstationname, dtype: object","0    40.73705
Name: endstationlatitude, dtype: float64","0   -73.990093
Name: endstationlongitude, dtype: float64","Subscriber    815902
Customer      186056
Name: usertype, dtype: int64","1    616914
2    198948
0    186096
Name: gender, dtype: int64"
3,2013-09,1034359,905.0205769950278,"0    459
Name: startstationid, dtype: int64","0    W 20 St & 11 Ave
Name: startstationname, dtype: object","0    40.746745
Name: startstationlatitude, dtype: float64","0   -74.007756
Name: startstationlongitude, dtype: float64","0    497
Name: endstationid, dtype: int64","0    E 17 St & Broadway
Name: endstationname, dtype: object","0    40.73705
Name: endstationlatitude, dtype: float64","0   -73.990093
Name: endstationlongitude, dtype: float64","Subscriber    889190
Customer      145169
Name: usertype, dtype: int64","1    669732
2    219400
0    145227
Name: gender, dtype: int64"
4,2013-10,1037712,825.614754382719,"0    521
Name: startstationid, dtype: int64","0    8 Ave & W 31 St
Name: startstationname, dtype: object","0    40.75045
Name: startstationlatitude, dtype: float64","0   -73.994811
Name: startstationlongitude, dtype: float64","0    497
Name: endstationid, dtype: int64","0    E 17 St & Broadway
Name: endstationname, dtype: object","0    40.73705
Name: endstationlatitude, dtype: float64","0   -73.990093
Name: endstationlongitude, dtype: float64","Subscriber    940266
Customer       97446
Name: usertype, dtype: int64","1    714293
2    225921
0     97498
Name: gender, dtype: int64"
5,2013-11,675774,771.2838656118762,"0    521
Name: startstationid, dtype: int64","0    8 Ave & W 31 St
Name: startstationname, dtype: object","0    40.75045
Name: startstationlatitude, dtype: float64","0   -73.994811
Name: startstationlongitude, dtype: float64","0    497
Name: endstationid, dtype: int64","0    E 17 St & Broadway
Name: endstationname, dtype: object","0    40.73705
Name: endstationlatitude, dtype: float64","0   -73.990093
Name: endstationlongitude, dtype: float64","Subscriber    631801
Customer       43973
Name: usertype, dtype: int64","1    487386
2    144371
0     44017
Name: gender, dtype: int64"
6,2013-12,443966,751.8738889914994,"0    521
Name: startstationid, dtype: int64","0    8 Ave & W 31 St
Name: startstationname, dtype: object","0    40.75045
Name: startstationlatitude, dtype: float64","0   -73.994811
Name: startstationlongitude, dtype: float64","0    497
Name: endstationid, dtype: int64","0    E 17 St & Broadway
Name: endstationname, dtype: object","0    40.73705
Name: endstationlatitude, dtype: float64","0   -73.990093
Name: endstationlongitude, dtype: float64","Subscriber    424585
Customer       19381
Name: usertype, dtype: int64","1    335587
2     88985
0     19394
Name: gender, dtype: int64"
7,2014-01,300400,733.9689447403462,"0    519
Name: startstationid, dtype: int64","0    Pershing Square N
Name: startstationname, dtype: object","0    40.751884
Name: startstationlatitude, dtype: float64","0   -73.977702
Name: startstationlongitude, dtype: float64","0    519
Name: endstationid, dtype: int64","0    Pershing Square N
Name: endstationname, dtype: object","0    40.751884
Name: endstationlatitude, dtype: float64","0   -73.977702
Name: endstationlongitude, dtype: float64","Subscriber    293146
Customer        7254
Name: usertype, dtype: int64","1    236106
2     57025
0      7269
Name: gender, dtype: int64"
8,2014-02,224736,874.5198099102947,"0    293
Name: startstationid, dtype: int64","0    Lafayette St & E 8 St
Name: startstationname, dtype: object","0    40.730287
Name: startstationlatitude, dtype: float64","0   -73.990765
Name: startstationlongitude, dtype: float64","0    293
Name: endstationid, dtype: int64","0    Lafayette St & E 8 St
Name: endstationname, dtype: object","0    40.730287
Name: endstationlatitude, dtype: float64","0   -73.990765
Name: endstationlongitude, dtype: float64","Subscriber    218019
Customer        6717
Name: usertype, dtype: int64","1    176526
2     41479
0      6731
Name: gender, dtype: int64"
9,2014-03,439117,715.5565487102526,"0    519
Name: startstationid, dtype: int64","0    E 42 St & Vanderbilt Ave
Name: startstationname, dtype: object","0    40.752416
Name: startstationlatitude, dtype: float64","0   -73.97837
Name: startstationlongitude, dtype: float64","0    293
Name: endstationid, dtype: int64","0    Lafayette St & E 8 St
Name: endstationname, dtype: object","0    40.730287
Name: endstationlatitude, dtype: float64","0   -73.990765
Name: endstationlongitude, dtype: float64","Subscriber    416235
Customer       22882
Name: usertype, dtype: int64","1    330568
2     85624
0     22925
Name: gender, dtype: int64"
