"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72505394728","2016-01-01","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  40.4","24","  24.3","24","1017.1","24","012.2","24"," 10.0","24","  6.5","22"," 12.0"," 22.9","  48.0"," ","  37.0"," "," 0.03","G","999.9","000000"
"72505394728","2016-01-02","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  35.8","24","  17.7","24","1016.9","24","012.0","24"," 10.0","24","  6.0","23"," 12.0"," 18.1","  42.1"," ","  32.0"," "," 0.00","G","999.9","000000"
"72505394728","2016-01-03","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  38.4","24","  20.0","24","1011.7","24","006.7","24"," 10.0","24","  6.4","20","  9.9"," 21.0","  45.0"," ","  32.0"," "," 0.00","G","999.9","000000"
"72505394728","2016-01-04","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  30.8","24","  12.5","24","1015.2","24","010.2","24"," 10.0","24","  7.0","22"," 11.1"," 22.0","  39.0","*","  19.9","*"," 0.00","G","999.9","000000"
"72505394728","2016-01-05","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  18.4","24","  -2.3","24","1032.7","24","027.5","24"," 10.0","24","  6.2","22"," 12.0"," 22.0","  36.0"," ","  10.9"," "," 0.00","G","999.9","000000"
"72505394728","2016-01-06","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  31.2","24","   2.8","24","1034.2","24","029.0","24"," 10.0","24","  2.4","24","  7.0","999.9","  41.0"," ","  10.9"," "," 0.00","G","999.9","000000"
"72505394728","2016-01-07","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  37.9","24","   8.7","24","1027.2","22","021.9","24"," 10.0","24","  2.9","24","  8.0","999.9","  46.0"," ","  25.0"," "," 0.00","G","999.9","000000"
"72505394728","2016-01-08","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  40.2","23","  25.5","23","1022.4"," 7","017.4"," 9"," 10.0","10","  4.3"," 9","  8.9","999.9","  44.6","*","  35.6","*"," 0.00","G","999.9","000000"
"72505394728","2016-01-09","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  43.3","24","  35.7","24","1021.7","19","016.6","24","  9.3","24","  7.4","24"," 11.1"," 18.1","  46.4","*","  39.9","*"," 0.00","G","999.9","010000"
"72505394728","2016-01-10","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  50.4","24","  45.9","24","1004.8","16","001.5","24","  5.3","24","  8.2","24"," 15.9"," 26.0","  59.0"," ","  39.9"," "," 0.77","G","999.9","010000"
"72505394728","2016-01-11","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  35.2","24","  13.1","24","1008.8","24","003.9","24"," 10.0","24","  9.4","23"," 13.0"," 28.0","  59.0"," ","  28.9"," "," 1.03","G","999.9","000000"
"72505394728","2016-01-12","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  32.2","23","  11.5","23","1013.5","23","007.3","19"," 10.0","23","  4.6","22","  9.9"," 24.1","  44.1","*","  25.0","*"," 0.00","G","999.9","000000"
"72505394728","2016-01-13","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  27.1","24","   7.8","24","1011.6","24","008.0","20"," 10.0","24","  9.4","23"," 18.1"," 29.9","  44.1"," ","  21.9"," "," 0.00","G","999.9","000000"
"72505394728","2016-01-14","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  27.9","24","   8.6","24","1014.2","24","009.2","24"," 10.0","24","  5.1","23","  8.9"," 17.1","  37.0"," ","  21.9"," "," 0.00","G","999.9","000000"
"72505394728","2016-01-15","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  41.2","24","  27.5","24","1012.0","24","007.1","24","  9.5","24","  3.8","22","  8.0"," 15.0","  51.1"," ","  21.9"," "," 0.00","G","999.9","000000"
"72505394728","2016-01-16","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  46.0","24","  37.3","24"," 999.9","19","994.6","24","  8.6","24","  5.5","23"," 11.1"," 19.0","  52.0"," ","  34.0"," "," 0.21","G","999.9","010000"
"72505394728","2016-01-17","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  37.3","24","  23.1","24","1009.2","18","003.9","24","  8.6","24","  5.8","24","  9.9"," 15.9","  52.0"," ","  30.0"," "," 0.03","G","999.9","101000"
"72505394728","2016-01-18","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  27.1","24","  11.4","24","1008.4","21","002.9","24","  8.9","24","  7.5","21"," 15.9"," 28.9","  42.1"," ","  21.9"," "," 0.05","G","999.9","001000"
"72505394728","2016-01-19","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  21.1","24","   1.5","24","1015.7","24","010.6","24"," 10.0","24"," 10.4","22"," 17.1"," 28.0","  30.9"," ","  16.0"," "," 0.00","G","999.9","000000"
"72505394728","2016-01-20","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  30.7","24","  13.1","24","1020.5","24","015.5","24"," 10.0","24","  5.6","22"," 11.1"," 21.0","  37.0"," ","  16.0"," "," 0.00","G","999.9","000000"
"72505394728","2016-01-21","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","  30.9","24","  12.5","24","1019.7","24","014.7","24"," 10.0","24","  5.0","23","  8.9"," 19.0","  37.0"," ","  26.1"," "," 0.00","G","999.9","000000"
