"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-01","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"4.4",",,X","-3.3",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-02","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"0.6",",,X","-5.6",",,X",,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-03","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"0.0",",,X","-4.4",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-04","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"2.8",",,X","-1.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-05","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"5.6",",,X","0.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-06","0.0","T,,X,2400","0.0","T,,X,","0.0",",,X,",,,"7.8",",,X","1.1",",,X",,,,,,,,,,,,,,,"    1",",,X","    1",",,X",,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-07","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"7.2",",,X","2.8",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-08","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"8.9",",,X","1.7",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-09","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"9.4",",,X","3.9",",,X",,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-10","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"8.3",",,X","4.4",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-11","14.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"7.8",",,X","2.8",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-12","0.5",",,X,2400","0.0",",,X,","0.0",",,X,",,,"8.3",",,X","5.6",",,X",,,"    1",",,W",,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-13","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"10.0",",,X","6.1",",,X",,,"    1",",,X",,,,,,,,,,,"    1",",,X","    1",",,X",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-14","2.3",",,X,2400","0.0",",,X,","0.0",",,X,",,,"13.3",",,X","3.3",",,X",,,"    1",",,X",,,,,,,,,,,"    1",",,X","    1",",,X",,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-15","3.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"3.3",",,X","1.7",",,X",,,"    1",",,W",,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,"    1",",,X",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-16","17.5",",,X,2400","0.0","T,,X,","0.0",",,X,",,,"2.8",",,X","0.0",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,"    1",",,X",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-17","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"6.1",",,X","1.7",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-18","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"1.7",",,X","-3.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-19","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"10.6",",,X","-1.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-20","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"11.7",",,X","-1.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-21","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"0.0",",,X","-3.3",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-22","0.0","T,,X,2400","0.0","T,,X,","0.0",",,X,",,,"-2.8",",,X","-10.6",",,X",,,,,,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-23","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"-6.7",",,X","-11.7",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-24","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"-5.6",",,X","-11.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-25","1.8",",,X,2400","38.0",",,X,","0.0",",,X,",,,"-4.4",",,X","-10.6",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-01-26","0.0",",,X,2400","0.0",",,X,","51.0",",,X,",,,"-2.8",",,X","-9.4",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
