,date,temp_f,precip_mm,is_snowday
0,2021-01-01,36.5,0.39,0
1,2021-01-02,41.5,0.67,0
2,2021-01-03,36.6,0.05,0
3,2021-01-04,37.7,0.24,0
4,2021-01-05,38.4,0.02,0
5,2021-01-06,37.4,0.0,0
6,2021-01-07,35.3,0.0,0
7,2021-01-08,32.0,0.0,0
8,2021-01-09,30.7,0.0,0
9,2021-01-10,34.1,0.0,0
10,2021-01-11,32.4,0.0,0
11,2021-01-12,37.3,0.0,0
12,2021-01-13,38.9,0.0,0
13,2021-01-14,42.9,0.0,0
14,2021-01-15,41.2,0.0,0
15,2021-01-16,43.1,1.16,0
16,2021-01-17,39.3,0.78,0
17,2021-01-18,41.3,0.0,0
18,2021-01-19,37.8,0.0,0
19,2021-01-20,36.6,0.0,0
20,2021-01-21,32.3,0.02,0
21,2021-01-22,40.9,0.0,0
22,2021-01-23,31.6,0.0,0
23,2021-01-24,26.1,0.0,0
24,2021-01-25,29.0,0.0,0
25,2021-01-26,33.3,0.0,0
26,2021-01-27,34.3,0.1,0
27,2021-01-28,30.0,0.0,0
28,2021-01-29,20.4,0.0,0
29,2021-01-30,22.1,0.0,0
30,2021-01-31,23.7,0.0,0
31,2021-02-01,27.0,0.43,0
32,2021-02-02,32.0,1.63,1
33,2021-02-03,32.2,0.04,1
34,2021-02-04,35.0,0.01,1
35,2021-02-05,41.1,0.0,1
36,2021-02-06,39.4,0.07,1
37,2021-02-07,35.9,0.0,1
38,2021-02-08,23.7,0.41,1
39,2021-02-09,29.8,0.0,1
40,2021-02-10,29.4,0.0,1
41,2021-02-11,29.5,0.11,1
42,2021-02-12,25.8,0.1,1
43,2021-02-13,27.5,0.0,1
44,2021-02-14,31.2,0.0,1
45,2021-02-15,33.2,0.0,1
46,2021-02-16,40.2,0.82,1
47,2021-02-17,29.7,0.02,1
48,2021-02-18,28.1,0.0,1
49,2021-02-19,29.8,0.48,1
50,2021-02-20,31.4,0.11,1
51,2021-02-21,29.7,0.0,1
52,2021-02-22,34.3,0.0,1
53,2021-02-23,38.8,0.52,1
54,2021-02-24,45.8,0.01,1
55,2021-02-25,46.0,0.0,1
56,2021-02-26,40.1,0.0,0
57,2021-02-27,43.0,0.06,0
58,2021-02-28,43.7,0.33,0
59,2021-03-01,43.4,0.36,0
60,2021-03-02,29.2,0.02,0
61,2021-03-03,39.4,0.0,0
62,2021-03-04,41.8,0.0,0
63,2021-03-05,29.7,0.0,0
64,2021-03-06,32.8,0.0,0
65,2021-03-07,32.7,0.0,0
66,2021-03-08,33.7,0.0,0
67,2021-03-09,50.2,0.0,0
68,2021-03-10,48.0,0.0,0
69,2021-03-11,53.7,0.0,0
70,2021-03-12,63.1,0.0,0
71,2021-03-13,45.2,0.0,0
72,2021-03-14,45.3,0.0,0
73,2021-03-15,31.1,0.0,0
74,2021-03-16,32.7,0.0,0
75,2021-03-17,39.5,0.0,0
76,2021-03-18,45.3,0.0,0
77,2021-03-19,38.5,0.67,0
78,2021-03-20,43.6,0.07,0
79,2021-03-21,51.9,0.0,0
80,2021-03-22,50.6,0.0,0
81,2021-03-23,52.0,0.0,0
82,2021-03-24,51.6,0.0,0
83,2021-03-25,55.6,1.27,0
84,2021-03-26,62.6,0.2,0
85,2021-03-27,58.0,0.19,0
86,2021-03-28,54.0,0.0,0
87,2021-03-29,50.9,0.76,0
88,2021-03-30,50.6,0.0,0
89,2021-03-31,56.2,0.0,0
90,2021-04-01,48.6,0.36,0
91,2021-04-02,35.1,0.02,0
92,2021-04-03,40.3,0.0,0
93,2021-04-04,52.4,0.0,0
94,2021-04-05,57.2,0.0,0
95,2021-04-06,57.6,0.0,0
96,2021-04-07,60.0,0.0,0
97,2021-04-08,57.6,0.0,0
98,2021-04-09,52.7,0.0,0
99,2021-04-10,57.5,0.01,0
100,2021-04-11,55.0,0.01,0
101,2021-04-12,47.6,0.43,0
102,2021-04-13,52.4,0.54,0
103,2021-04-14,58.4,0.06,0
104,2021-04-15,54.6,0.0,0
105,2021-04-16,46.0,0.84,0
106,2021-04-17,48.6,0.03,0
107,2021-04-18,54.6,0.0,0
108,2021-04-19,58.9,0.0,0
109,2021-04-20,62.2,0.0,0
110,2021-04-21,58.5,0.0,0
111,2021-04-22,41.2,0.11,0
112,2021-04-23,49.4,0.0,0
113,2021-04-24,60.4,0.0,0
114,2021-04-25,56.1,0.47,0
115,2021-04-26,52.0,0.12,0
116,2021-04-27,54.4,0.0,0
117,2021-04-28,63.6,0.0,0
118,2021-04-29,66.7,0.05,0
119,2021-04-30,65.1,0.02,0
120,2021-05-01,52.0,0.03,0
121,2021-05-02,66.0,0.0,0
122,2021-05-03,62.9,0.0,0
123,2021-05-04,58.8,0.81,0
124,2021-05-05,55.3,0.23,0
125,2021-05-06,57.0,0.31,0
126,2021-05-07,57.7,0.0,0
127,2021-05-08,51.8,0.0,0
128,2021-05-09,51.9,0.05,0
129,2021-05-10,52.1,0.5,0
130,2021-05-11,56.8,0.03,0
131,2021-05-12,56.6,0.0,0
132,2021-05-13,60.6,0.0,0
133,2021-05-14,63.8,0.0,0
134,2021-05-15,66.8,0.0,0
135,2021-05-16,66.7,0.0,0
136,2021-05-17,66.2,0.01,0
137,2021-05-18,70.4,0.0,0
138,2021-05-19,75.4,0.0,0
139,2021-05-20,68.3,0.0,0
140,2021-05-21,66.8,0.0,0
141,2021-05-22,75.8,0.0,0
142,2021-05-23,80.0,0.0,0
143,2021-05-24,65.2,0.0,0
144,2021-05-25,64.0,0.0,0
145,2021-05-26,72.8,0.0,0
146,2021-05-27,73.1,0.09,0
147,2021-05-28,62.3,0.02,0
148,2021-05-29,49.1,1.41,0
149,2021-05-30,49.2,0.4,0
150,2021-05-31,55.1,0.78,0
151,2021-06-01,64.8,0.02,0
152,2021-06-02,67.7,0.0,0
153,2021-06-03,65.5,0.0,0
154,2021-06-04,70.2,0.38,0
155,2021-06-05,74.8,0.39,0
156,2021-06-06,83.5,0.0,0
157,2021-06-07,81.5,0.0,0
158,2021-06-08,80.6,0.07,0
159,2021-06-09,78.7,0.48,0
160,2021-06-10,78.2,0.01,0
161,2021-06-11,65.8,0.0,0
162,2021-06-12,66.2,0.0,0
163,2021-06-13,66.8,0.0,0
164,2021-06-14,67.9,0.14,0
165,2021-06-15,71.9,0.09,0
166,2021-06-16,69.5,0.0,0
167,2021-06-17,68.9,0.0,0
168,2021-06-18,73.7,0.0,0
169,2021-06-19,75.8,0.14,0
170,2021-06-20,75.4,0.0,0
171,2021-06-21,80.0,0.0,0
172,2021-06-22,72.1,0.01,0
173,2021-06-23,64.9,0.24,0
174,2021-06-24,68.6,0.0,0
175,2021-06-25,69.4,0.0,0
176,2021-06-26,74.7,0.0,0
177,2021-06-27,79.5,0.04,0
178,2021-06-28,83.2,0.0,0
179,2021-06-29,86.0,0.0,0
180,2021-06-30,88.3,0.0,0
181,2021-07-01,76.0,0.65,0
182,2021-07-02,72.7,1.0,0
183,2021-07-03,63.6,0.88,0
184,2021-07-04,67.5,0.03,0
185,2021-07-05,74.0,0.0,0
