,date,temp_f,precip_mm
0,2020-01-01T00:51:00,44.06,0.0
1,2020-01-01T01:51:00,42.980000000000004,0.5
2,2020-01-01T02:51:00,42.980000000000004,0.0
3,2020-01-01T03:51:00,42.08,0.0
4,2020-01-01T04:51:00,41.0,0.0
7,2020-01-01T05:51:00,39.92,0.0
8,2020-01-01T06:51:00,39.2,0.0
9,2020-01-01T07:51:00,39.02,0.0
10,2020-01-01T08:51:00,39.02,0.0
11,2020-01-01T09:51:00,37.94,0.0
12,2020-01-01T10:51:00,37.04,0.0
13,2020-01-01T11:51:00,37.04,0.0
14,2020-01-01T12:51:00,37.04,0.0
15,2020-01-01T13:51:00,37.04,0.0
16,2020-01-01T14:51:00,37.94,0.0
17,2020-01-01T15:51:00,37.94,0.0
18,2020-01-01T16:51:00,39.02,0.0
19,2020-01-01T17:51:00,37.94,0.0
20,2020-01-01T18:51:00,37.94,0.0
21,2020-01-01T19:51:00,37.94,0.0
22,2020-01-01T20:51:00,37.94,0.0
23,2020-01-01T21:51:00,37.94,0.0
24,2020-01-01T22:51:00,37.94,0.0
25,2020-01-01T23:51:00,37.04,0.0
26,2020-01-02T00:51:00,35.96,0.0
27,2020-01-02T01:51:00,35.06,0.0
28,2020-01-02T02:51:00,35.06,0.0
29,2020-01-02T03:51:00,35.06,0.0
30,2020-01-02T04:51:00,33.98,0.0
32,2020-01-02T05:51:00,33.98,0.0
33,2020-01-02T06:51:00,33.98,0.0
34,2020-01-02T07:51:00,33.98,0.0
35,2020-01-02T08:51:00,33.98,0.0
57,2020-01-03T05:51:00,46.94,0.0
58,2020-01-03T06:51:00,48.02,0.0
59,2020-01-03T07:51:00,48.02,0.0
60,2020-01-03T08:51:00,46.94,0.3
61,2020-01-03T09:51:00,44.96,0.5
62,2020-01-03T10:51:00,44.06,0.3
63,2020-01-03T11:51:00,44.96,0.5
64,2020-01-03T12:51:00,44.96,0.3
65,2020-01-03T12:58:00,44.96,0.0
66,2020-01-03T13:47:00,44.6,0.2
67,2020-01-03T13:51:00,44.96,0.3
68,2020-01-03T14:06:00,44.96,0.2
69,2020-01-03T14:47:00,44.6,0.5
70,2020-01-03T14:51:00,44.96,0.5
71,2020-01-03T15:13:00,44.96,0.0
72,2020-01-03T15:32:00,44.96,0.2
73,2020-01-03T15:48:00,44.6,0.2
74,2020-01-03T15:51:00,44.96,0.3
76,2020-01-03T16:51:00,44.96,0.0
78,2020-01-03T17:51:00,46.94,0.0
80,2020-01-03T18:51:00,46.94,0.0
83,2020-01-03T19:51:00,48.02,0.0
84,2020-01-03T20:51:00,48.92,0.0
85,2020-01-03T21:51:00,48.02,0.0
86,2020-01-03T22:51:00,48.02,0.0
87,2020-01-03T23:51:00,48.92,0.0
88,2020-01-04T00:51:00,48.92,0.0
89,2020-01-04T01:51:00,48.02,0.0
90,2020-01-04T02:51:00,48.02,0.3
91,2020-01-04T03:51:00,48.02,0.5
92,2020-01-04T04:51:00,48.02,0.3
94,2020-01-04T05:51:00,48.02,0.0
95,2020-01-04T06:35:00,48.02,0.5
